feature,perm_imp_cls_mean,perm_imp_cls_std,perm_imp_reg_mean,perm_imp_reg_std
100,,,0.0004903927851621637,3.479440004482563e-05
40,,,7.91034208605194e-05,9.43136114544623e-06
advance,0.002742316784869988,0.00013373177894780014,,
agree,,,9.787780624685254e-05,2.3883691227544422e-05
amendment,0.0039716312056737495,0.00040119533684342655,,
american,0.0015130023640662071,0.001044478583185545,,
asking,,,9.59185233230982e-05,1.9790954237955592e-05
big,0.0029314420803782473,0.0022497167382260555,,
brave,0.0015130023640662256,0.0011886340510616137,,
calls,,,4.796284670893769e-05,1.0861973773923467e-05
class,,,4.900390902510635e-05,2.0112396270842623e-05
college,,,7.258558243805613e-05,1.6839557394439255e-05
complete,0.003309692671394804,0.0008134586540938717,,
congressional district,0.003309692671394804,0.0015070806099772298,,
congressman,0.0012293144208037805,0.0007445870330034754,,
deal,0.001607565011820337,0.0005349271157912528,,
doing fantastic,0.0025531914893617094,0.00023163023572418247,,
early,,,0.0003381954029356704,3.4081490095651766e-05
election integrity,0.0013238770685579475,0.0005349271157912528,,
federal,0.0017021276595744854,0.0006948907071725474,,
great,,,7.833352771828099e-05,2.2186729368433797e-05
greatest,0.0012293144208037805,0.0002674635578956264,,
hard,0.0019858156028368934,0.0011581511786208896,,
hard secure,0.0015130023640662071,0.0001337317789478263,,
highly,0.0028368794326241176,0.0008023906736868792,,
isn,,,4.3421342275899257e-05,1.828861978836994e-05
jim jordan,,,5.6652871539442096e-05,7.858944006035941e-05
know,0.0013238770685579475,0.0016433236120078389,,
las vegas,,,4.2117351866099995e-05,6.862278153274498e-06
list,,,4.396026836543202e-05,6.074542814529853e-06
log_favorites,0.006052009456264791,0.0015422701116123137,0.0027829849285127364,0.000477172516378997
log_replies,0.004917257683215141,0.0007076420589643289,,
log_reposts,0.0017021276595744854,0.005734895205695044,0.000746087587256139,0.00022897673698255702
look forward,0.0015130023640662256,0.00093612245263467,,
loser,,,8.212370248372736e-05,3.520347014435651e-05
makes,,,5.17935511132143e-05,1.019860385867523e-05
michelle,,,6.219744770545137e-05,6.1019101792022314e-05
middle east,,,4.736553933841018e-05,5.544555027956202e-06
migrant,0.005106382978723419,0.0006128359998494473,,
monday,,,0.00025167803569747793,4.9058980116197156e-05
rescue,,,7.146797718578697e-05,3.0743097348250995e-05
reveal,,,5.1761780131776014e-05,2.0748655624191847e-05
running,0.0012293144208037992,0.0008769379191958217,,
secure border,0.0019858156028368934,0.0010096527897901953,,
seeing,0.0013238770685579289,0.000582923309973426,,
senator,0.0015130023640662071,0.0015422701116123215,,
sent,,,9.786061305735079e-05,1.675463798575757e-05
siege second,0.006619385342789608,0.00048217678615535985,,
site,,,4.587222398092875e-05,2.2445794851057666e-05
smith,,,4.0815500453650344e-05,1.9253925321842105e-05
soft,,,0.0001256072266449341,1.3940893630925975e-05
stop migrant,0.006430260047281329,0.0009361224526346795,,
taxes,,,6.57222894330604e-05,1.43400173615874e-05
total,0.001607565011820337,0.0011886340510616137,,
trump,,,4.574372551713335e-05,6.8103836401330214e-06
war,,,3.987893203723688e-05,3.743680552141286e-05
wonderful people,,,5.7571525222381105e-05,5.297416023291493e-05
work,0.0013238770685579289,0.0004821767861553526,,
